Tempo em min:sec,Temperatura desejada do tanque,Temperatura atual do tanque,Nivel desejado do tanque,Nivel atual do Tanque
00:03.59,30.000000,20.317063,1.500000,1.968909
00:03.60,30.000000,20.317063,1.500000,1.968909
00:03.61,30.000000,20.317063,1.500000,1.968909
00:03.62,30.000000,20.317063,1.500000,1.968909
00:03.63,30.000000,20.317063,1.500000,1.968909
00:03.64,30.000000,20.317063,1.500000,1.968909
00:03.65,30.000000,20.325884,1.500000,1.968322
00:03.66,30.000000,20.325884,1.500000,1.968322
00:03.67,30.000000,20.325884,1.500000,1.968322
00:03.68,30.000000,20.325884,1.500000,1.968322
00:03.69,30.000000,20.325884,1.500000,1.968322
00:03.70,30.000000,20.325884,1.500000,1.968322
00:03.71,30.000000,20.325884,1.500000,1.968322
00:03.72,30.000000,20.325884,1.500000,1.968322
00:03.73,30.000000,20.325884,1.500000,1.968322
00:03.74,30.000000,20.325884,1.500000,1.968322
00:03.75,30.000000,20.334700,1.500000,1.967736
00:03.76,30.000000,20.334700,1.500000,1.967736
00:03.77,30.000000,20.334700,1.500000,1.967736
00:03.78,30.000000,20.334700,1.500000,1.967736
00:03.79,30.000000,20.334700,1.500000,1.967736
00:03.80,30.000000,20.334700,1.500000,1.967736
00:03.81,30.000000,20.334700,1.500000,1.967736
00:03.82,30.000000,20.334700,1.500000,1.967736
00:03.83,30.000000,20.334700,1.500000,1.967736
00:03.84,30.000000,20.334700,1.500000,1.967736
00:03.85,30.000000,20.334700,1.500000,1.967736
00:03.86,30.000000,20.334700,1.500000,1.967736
00:03.87,30.000000,20.343510,1.500000,1.967151
00:03.88,30.000000,20.343510,1.500000,1.967151
00:03.89,30.000000,20.343510,1.500000,1.967151
00:03.90,30.000000,20.343510,1.500000,1.967151
00:03.91,30.000000,20.343510,1.500000,1.967151
00:03.92,30.000000,20.343510,1.500000,1.967151
00:03.93,30.000000,20.343510,1.500000,1.967151
00:03.94,30.000000,20.343510,1.500000,1.967151
00:03.95,30.000000,20.343510,1.500000,1.967151
00:03.96,30.000000,20.343510,1.500000,1.967151
00:03.97,30.000000,20.352314,1.500000,1.966567
00:03.98,30.000000,20.352314,1.500000,1.966567
00:03.99,30.000000,20.352314,1.500000,1.966567
00:04.00,30.000000,20.352314,1.500000,1.966567
00:04.01,30.000000,20.352314,1.500000,1.966567
00:04.02,30.000000,20.352314,1.500000,1.966567
00:04.03,30.000000,20.352314,1.500000,1.966567
00:04.04,30.000000,20.352314,1.500000,1.966567
00:04.05,30.000000,20.352314,1.500000,1.966567
00:04.06,30.000000,20.352314,1.500000,1.966567
00:04.07,30.000000,20.361114,1.500000,1.965983
00:04.08,30.000000,20.361114,1.500000,1.965983
00:04.09,30.000000,20.361114,1.500000,1.965983
00:04.10,30.000000,20.361114,1.500000,1.965983
00:04.11,30.000000,20.361114,1.500000,1.965983
00:04.12,30.000000,20.361114,1.500000,1.965983
00:04.13,30.000000,20.361114,1.500000,1.965983
00:04.14,30.000000,20.361114,1.500000,1.965983
00:04.15,30.000000,20.361114,1.500000,1.965983
00:04.16,30.000000,20.361114,1.500000,1.965983
00:04.17,30.000000,20.369907,1.500000,1.965401
00:04.18,30.000000,20.369907,1.500000,1.965401
00:04.19,30.000000,20.369907,1.500000,1.965401
00:04.20,30.000000,20.369907,1.500000,1.965401
00:04.21,30.000000,20.369907,1.500000,1.965401
00:04.22,30.000000,20.369907,1.500000,1.965401
00:04.23,30.000000,20.369907,1.500000,1.965401
00:04.24,30.000000,20.369907,1.500000,1.965401
00:04.25,30.000000,20.369907,1.500000,1.965401
00:04.26,30.000000,20.378696,1.500000,1.964818
00:04.27,30.000000,20.378696,1.500000,1.964818
00:04.28,30.000000,20.378696,1.500000,1.964818
00:04.29,30.000000,20.378696,1.500000,1.964818
00:04.30,30.000000,20.378696,1.500000,1.964818
00:04.31,30.000000,20.378696,1.500000,1.964818
00:04.32,30.000000,20.387479,1.500000,1.964237
00:04.33,30.000000,20.387479,1.500000,1.964237
00:04.34,30.000000,20.387479,1.500000,1.964237
00:04.35,30.000000,20.387479,1.500000,1.964237
00:04.36,30.000000,20.387479,1.500000,1.964237
00:04.37,30.000000,20.387479,1.500000,1.964237
00:04.38,30.000000,20.387479,1.500000,1.964237
00:04.39,30.000000,20.387479,1.500000,1.964237
00:04.40,30.000000,20.387479,1.500000,1.964237
00:04.41,30.000000,20.387479,1.500000,1.964237
00:04.42,30.000000,20.387479,1.500000,1.964237
00:04.43,30.000000,20.387479,1.500000,1.964237
00:04.44,30.000000,20.387479,1.500000,1.964237
00:04.45,30.000000,20.387479,1.500000,1.964237
00:04.46,30.000000,20.387479,1.500000,1.964237
00:04.47,30.000000,20.396257,1.500000,1.963656
00:04.48,30.000000,20.396257,1.500000,1.963656
